code,station_name,network_region,fueltech_id,capacity_registered,capacity_maximum
MM3,Munmorah Power Station,NSW1,black_coal,300.000,310.000
MM4,Munmorah Power Station,NSW1,black_coal,300.000,310.000
WW7,"Wallerawang ""C"" Power Station",NSW1,black_coal,500.000,500.000
WW8,"Wallerawang ""C"" Power Station",NSW1,black_coal,500.000,500.000
BW01,Bayswater Power Station,NSW1,black_coal,660.000,700.000
BW02,Bayswater Power Station,NSW1,black_coal,660.000,700.000
BW03,Bayswater Power Station,NSW1,black_coal,660.000,700.000
BW04,Bayswater Power Station,NSW1,black_coal,660.000,700.000
None,Callide Power Station,QLD1,black_coal,30.000,30.000
CALL_A_4,Callide Power Station,QLD1,black_coal,30.000,30.000
CALL_B_1,Callide Power Station,QLD1,black_coal,350.000,385.000
CALL_B_2,Callide Power Station,QLD1,black_coal,350.000,385.000
ER01,Eraring Power Station,NSW1,black_coal,720.000,750.000
ER02,Eraring Power Station,NSW1,black_coal,720.000,750.000
ER03,Eraring Power Station,NSW1,black_coal,720.000,750.000
ER04,Eraring Power Station,NSW1,black_coal,720.000,750.000
GSTONE1,Gladstone Power Station,QLD1,black_coal,280.000,285.000
GSTONE2,Gladstone Power Station,QLD1,black_coal,280.000,285.000
GSTONE3,Gladstone Power Station,QLD1,black_coal,280.000,285.000
GSTONE4,Gladstone Power Station,QLD1,black_coal,280.000,285.000
GSTONE5,Gladstone Power Station,QLD1,black_coal,280.000,285.000
GSTONE6,Gladstone Power Station,QLD1,black_coal,280.000,285.000
LD01,Liddell Power Station,NSW1,black_coal,500.000,550.000
LD02,Liddell Power Station,NSW1,black_coal,500.000,550.000
LD03,Liddell Power Station,NSW1,black_coal,500.000,550.000
LD04,Liddell Power Station,NSW1,black_coal,500.000,550.000
MP1,Mt Piper Power Station,NSW1,black_coal,700.000,700.000
MP2,Mt Piper Power Station,NSW1,black_coal,700.000,700.000
STAN-1,Stanwell Power Station,QLD1,black_coal,365.000,385.000
STAN-2,Stanwell Power Station,QLD1,black_coal,365.000,385.000
STAN-3,Stanwell Power Station,QLD1,black_coal,365.000,385.000
STAN-4,Stanwell Power Station,QLD1,black_coal,365.000,385.000
TARONG#1,Tarong Power Station,QLD1,black_coal,350.000,385.000
TARONG#2,Tarong Power Station,QLD1,black_coal,350.000,385.000
TARONG#3,Tarong Power Station,QLD1,black_coal,350.000,385.000
TARONG#4,Tarong Power Station,QLD1,black_coal,350.000,385.000
VP5,"Vales Point ""B"" Power Station",NSW1,black_coal,660.000,680.000
VP6,"Vales Point ""B"" Power Station",NSW1,black_coal,660.000,680.000
REDBANK1,Redbank Power Station,NSW1,black_coal,150.000,151.000
APS,Anglesea Power Station,VIC1,brown_coal,165.000,165.000
MOR1,Energy Brix Complex Power Station,VIC1,brown_coal,90.000,90.000
MOR1,Energy Brix Complex Power Station,VIC1,brown_coal,,
MOR2,Energy Brix Complex Power Station,VIC1,brown_coal,30.000,30.000
MOR3,Energy Brix Complex Power Station,VIC1,brown_coal,75.000,75.000
NPS1,Northern Power Station,SA1,brown_coal,265.000,273.000
NPS2,Northern Power Station,SA1,brown_coal,265.000,273.000
PLAYB-AG,Playford B Power Station,SA1,brown_coal,240.000,252.000
HWPS1,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS2,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS3,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS4,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS5,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS6,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS7,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
HWPS8,Hazelwood Power Station,VIC1,brown_coal,200.000,220.000
LYA1,Loy Yang A Power Station,VIC1,brown_coal,560.000,590.000
LYA2,Loy Yang A Power Station,VIC1,brown_coal,530.000,535.000
LYA3,Loy Yang A Power Station,VIC1,brown_coal,560.000,590.000
LYA4,Loy Yang A Power Station,VIC1,brown_coal,560.000,580.000
LOYYB1,Loy Yang B Power Station,VIC1,brown_coal,500.000,600.000
LOYYB2,Loy Yang B Power Station,VIC1,brown_coal,500.000,600.000
YWPS1,Yallourn 'W' Power Station,VIC1,brown_coal,360.000,395.000
YWPS2,Yallourn 'W' Power Station,VIC1,brown_coal,360.000,395.000
YWPS3,Yallourn 'W' Power Station,VIC1,brown_coal,380.000,405.000
YWPS4,Yallourn 'W' Power Station,VIC1,brown_coal,380.000,405.000
GB01,Broken Hill Gas Turbines,NSW1,distillate,50.000,50.000
ERGT01,Eraring Power Station,NSW1,distillate,41.500,56.000
MACKAYGT,Mackay Gas Turbine,QLD1,distillate,30.000,34.000
POR01,Port Lincoln Gas Turbine,SA1,distillate,50.000,55.000
POR03,Port Lincoln Gas Turbine,SA1,distillate,23.500,23.000
SNUG1,Snuggery Power Station,SA1,distillate,63.000,69.000
SATGN1,Temporary Generation North,SA1,distillate,154.000,154.000
SATGS1,Temporary Generation South,SA1,distillate,123.200,123.000
HVGTS,Hunter Valley Gas Turbine,NSW1,distillate,50.000,50.000
MSTUART1,Mt Stuart Power Station,QLD1,distillate,144.000,152.000
MSTUART2,Mt Stuart Power Station,QLD1,distillate,144.000,152.000
MSTUART3,Mt Stuart Power Station,QLD1,distillate,131.000,139.000
AMCORGR,"Amcor Glass, Gawler Plant",SA1,distillate,4.000,4.000
STANV1,Port Stanvac Power Station 1,SA1,distillate,28.800,32.000
STANV2,Port Stanvac Power Station 2,SA1,distillate,28.800,32.000
ANGAS1,Angaston Power Station,SA1,distillate,30.000,30.000
ANGAS2,Angaston Power Station,SA1,distillate,20.000,20.000
CATAGUN1,Catagunya Diesel Generation ,TAS1,distillate,24.000,24.000
GEORGTN1,George Town Diesel Generation,TAS1,distillate,30.000,30.000
MEADOWB2,Meadowbank Diesel Generation,TAS1,distillate,24.000,24.000
PORTLAT1,Port Latta Diesel Generation,TAS1,distillate,23.000,23.000
QUERIVE1,Que River Diesel Generator,TAS1,distillate,48.000,48.000
BBDISEL1,Bell Bay Diesel Generator,TAS1,distillate,75.000,75.000
STGEORG1,St George Leagues Club Plant,NSW1,distillate,1.000,1.000
BANKSPT1,Bankstown Sports Club Plant Units,NSW1,distillate,2.000,2.000
BANKSPT1,Bankstown Sports Club Plant Units,NSW1,distillate,,
BLULAKE1,Blue Lake Milling Power Plant,SA1,distillate,0.500,1.000
STHBKTEC,Southbank Institute Of Technology Unit 1 Plant,QLD1,distillate,1.000,1.000
ANGAST1,Angaston Power Station,SA1,distillate,50.000,50.000
BBASEHOS,Ballarat Base Hospital Plant,VIC1,distillate,,
LONSDALE,Lonsdale Power Station,SA1,distillate,20.000,21.000
NINEWIL1,Nine Network Willoughby Plant,NSW1,distillate,3.200,2.000
PTSTAN1,Pt Stanvac Power Station,SA1,distillate,57.600,65.000
TATIARA1,Tataria Bordertown Plant,SA1,distillate,0.500,1.000
WESTILL1,West Illawarra Leagues Club Plant,NSW1,distillate,1.000,1.000
WESTILL1,West Illawarra Leagues Club Plant,NSW1,distillate,,
WESTCBT1,Western Suburbs League Club (Campbelltown) Plant,NSW1,distillate,1.000,1.000
BRAEMAR5,Braemar 2 Power Station,QLD1,gas_ocgt,173.000,173.000
BRAEMAR6,Braemar 2 Power Station,QLD1,gas_ocgt,173.000,173.000
BRAEMAR7,Braemar 2 Power Station,QLD1,gas_ocgt,173.000,173.000
BRAEMAR1,Braemar Power Station,QLD1,gas_ocgt,168.000,173.000
BRAEMAR2,Braemar Power Station,QLD1,gas_ocgt,168.000,188.000
BRAEMAR3,Braemar Power Station,QLD1,gas_ocgt,168.000,188.000
LAVNORTH,Laverton North Power Station,VIC1,gas_ocgt,312.000,346.000
VPGS,Valley Power Peaking Facility,VIC1,gas_ocgt,300.000,390.000
LONGFORD,Longford Plant,VIC1,gas_ocgt,44.000,44.800
LONGFORD,Longford Plant,VIC1,gas_ocgt,,
LONGFORD,Longford Plant,VIC1,gas_ocgt,,
LONGFORD,Longford Plant,VIC1,gas_ocgt,,
LONGFORD,Longford Plant,VIC1,gas_ocgt,,
BDL01,Bairnsdale Power Station,VIC1,gas_ocgt,47.000,47.000
BDL02,Bairnsdale Power Station,VIC1,gas_ocgt,47.000,47.000
BBTHREE1,Bell Bay Three Power Station,TAS1,gas_ocgt,35.000,49.000
BBTHREE2,Bell Bay Three Power Station,TAS1,gas_ocgt,35.000,49.000
BBTHREE3,Bell Bay Three Power Station,TAS1,gas_ocgt,35.000,49.000
TVPP104,Bell Bay Three Power Station,TAS1,gas_ocgt,58.000,58.000
CG1,Colongra Power Station,NSW1,gas_ocgt,181.000,181.000
CG2,Colongra Power Station,NSW1,gas_ocgt,181.000,181.000
CG3,Colongra Power Station,NSW1,gas_ocgt,181.000,181.000
CG4,Colongra Power Station,NSW1,gas_ocgt,181.000,181.000
DRYCGT1,Dry Creek Gas Turbine Station,SA1,gas_ocgt,52.000,57.000
DRYCGT2,Dry Creek Gas Turbine Station,SA1,gas_ocgt,52.000,57.000
DRYCGT3,Dry Creek Gas Turbine Station,SA1,gas_ocgt,52.000,57.000
JLA01,"Jeeralang ""A"" Power Station",VIC1,gas_ocgt,51.000,65.000
JLA02,"Jeeralang ""A"" Power Station",VIC1,gas_ocgt,51.000,65.000
JLA03,"Jeeralang ""A"" Power Station",VIC1,gas_ocgt,51.000,65.000
JLA04,"Jeeralang ""A"" Power Station",VIC1,gas_ocgt,51.000,65.000
JLB01,"Jeeralang ""B"" Power Station",VIC1,gas_ocgt,76.000,100.000
JLB02,"Jeeralang ""B"" Power Station",VIC1,gas_ocgt,76.000,100.000
JLB03,"Jeeralang ""B"" Power Station",VIC1,gas_ocgt,76.000,100.000
LADBROK1,Ladbroke Grove Power Station,SA1,gas_ocgt,40.000,50.000
LADBROK2,Ladbroke Grove Power Station,SA1,gas_ocgt,40.000,50.000
LNGS1,Laverton North Power Station,VIC1,gas_ocgt,156.000,172.000
LNGS2,Laverton North Power Station,VIC1,gas_ocgt,156.000,172.000
MINTARO,Mintaro Gas Turbine Station,SA1,gas_ocgt,90.000,105.000
MORTLK11,Mortlake Power Station,VIC1,gas_ocgt,283.000,292.000
MORTLK12,Mortlake Power Station,VIC1,gas_ocgt,283.000,292.000
OAKEY1,Oakey Power Station,QLD1,gas_ocgt,141.000,173.000
OAKEY2,Oakey Power Station,QLD1,gas_ocgt,141.000,173.000
QPS1,Quarantine Power Station,SA1,gas_ocgt,29.000,29.500
QPS2,Quarantine Power Station,SA1,gas_ocgt,24.000,25.000
QPS3,Quarantine Power Station,SA1,gas_ocgt,24.000,25.000
QPS4,Quarantine Power Station,SA1,gas_ocgt,24.000,25.000
QPS5,Quarantine Power Station,SA1,gas_ocgt,128.000,128.000
ROMA_7,Roma Gas Turbine Station,QLD1,gas_ocgt,40.000,42.000
ROMA_8,Roma Gas Turbine Station,QLD1,gas_ocgt,40.000,42.000
AGLSOM,Somerton Power Station,VIC1,gas_ocgt,170.000,170.000
URANQ11,Uranquinty Power Station,NSW1,gas_ocgt,166.000,166.000
URANQ12,Uranquinty Power Station,NSW1,gas_ocgt,166.000,166.000
URANQ13,Uranquinty Power Station,NSW1,gas_ocgt,166.000,166.000
URANQ14,Uranquinty Power Station,NSW1,gas_ocgt,166.000,166.000
VPGS1,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
VPGS2,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
VPGS3,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
VPGS4,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
VPGS5,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
VPGS6,Valley Power Peaking Facility,VIC1,gas_ocgt,50.000,60.000
AGLHAL,Hallett Power Station,SA1,gas_ocgt,217.000,255.000
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
AGLHAL,Hallett Power Station,SA1,gas_ocgt,,
BARCALDN,Barcaldine Power Station,QLD1,gas_ccgt,37.000,37.000
CPSA,Condamine Power Station A,QLD1,gas_ccgt,143.000,144.000
CPSA,Condamine Power Station A,QLD1,gas_ccgt,,
DDPS1,Darling Downs Power Station,QLD1,gas_ccgt,280.000,280.000
DDPS1,Darling Downs Power Station,QLD1,gas_ccgt,363.000,381.000
OSB-AG,Osborne Power Station,SA1,gas_ccgt,180.000,204.000
OSB-AG,Osborne Power Station,SA1,gas_ccgt,,
PPCCGT,Pelican Point Power Station,SA1,gas_ccgt,478.000,529.000
PPCCGT,Pelican Point Power Station,SA1,gas_ccgt,,
SITHE01,Smithfield Energy Facility,NSW1,gas_ccgt,185.000,185.000
SITHE04,Smithfield Energy Facility,NSW1,gas_ccgt,,
SWAN_E,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,gas_ccgt,385.000,385.000
TALWA1,Tallawarra Power Station,NSW1,gas_ccgt,440.000,440.000
TVCC201,Tamar Valley Combined Cycle Power Station,TAS1,gas_ccgt,208.600,208.000
TVCC201,Tamar Valley Combined Cycle Power Station,TAS1,gas_ccgt,,
YABULU,Townsville Gas Turbine,QLD1,gas_ccgt,160.000,174.000
YABULU2,Townsville Gas Turbine,QLD1,gas_ccgt,82.000,84.000
YARWUN_1,Yarwun Power Station,QLD1,gas_ccgt,154.000,180.000
NPS,Newport Power Station,VIC1,gas_steam,500.000,510.000
TORRA2,Torrens Island Power Station,SA1,gas_steam,120.000,120.000
TORRA4,Torrens Island Power Station,SA1,gas_steam,120.000,120.000
TORRA1,Torrens Island Power Station,SA1,gas_steam,120.000,120.000
TORRA3,Torrens Island Power Station,SA1,gas_steam,120.000,120.000
TORRB1,Torrens Island Power Station,SA1,gas_steam,200.000,210.000
TORRB2,Torrens Island Power Station,SA1,gas_steam,200.000,210.000
TORRB3,Torrens Island Power Station,SA1,gas_steam,200.000,210.000
TORRB4,Torrens Island Power Station,SA1,gas_steam,200.000,210.000
DAANDINE,Daandine Power Station,QLD1,gas_recip,33.000,30.000
MORANBAH,Moranbah Generation Project,QLD1,gas_recip,12.560,13.000
OAKYCREK,Oaky Creek Power Station,QLD1,gas_recip,20.000,20.000
OAKYCREK,Oaky Creek Power Station,QLD1,gas_recip,,
WILGB01,Wilga Park B,NSW1,gas_recip,6.000,6.000
WILGB01,Wilga Park B,NSW1,gas_recip,6.000,6.000
WILGAPK,Wilga Park Power Station,NSW1,gas_recip,10.000,10.000
WILGAPK,Wilga Park Power Station,NSW1,gas_recip,,
BBASEHOS,Ballarat Base Hospital Plant,VIC1,gas_recip,3.000,3.000
BARKIPS1,Barker Inlet Power Station,SA1,gas_recip,211.000,210.000
TGNSS1,Traralgon Network Support Station,VIC1,gas_recip,10.000,10.000
GLENNCRK,Glennies Creek Power Station,NSW1,gas_recip,12.780,12.000
TERALBA,Teralba Power Station,NSW1,gas_recip,3.000,3.000
APPIN,Appin Power Plant,NSW1,gas_recip,55.600,55.000
GERMCRK,German Creek Power Station,QLD1,gas_recip,44.976,45.000
GERMCRK,German Creek Power Station,QLD1,gas_recip,,
GROSV1,Grosvenor 1 Waste Coal Mine Gas Power Station,QLD1,gas_recip,21.287,21.000
GROSV2,Grosvenor 2,QLD1,gas_recip,15.205,15.000
MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,QLD1,gas_recip,63.420,63.000
OAKY2,Oaky Creek 2,QLD1,gas_recip,15.000,15.000
TAHMOOR1,Tahmoor Waste Coal Mine Gas Power Station,NSW1,gas_recip,7.042,7.000
TOWER,Tower Power Plant,NSW1,gas_recip,41.200,41.000
CSPVPS,Collinsville Solar PV Power Station,QLD1,solar,42.000,40.000
CSPVPS1,Collinsville Solar PV Power Station,QLD1,solar,42.000,40.000
DDSF1,"Darling Downs Solar Farm, Units 1-44",QLD1,solar,121.000,108.000
TBSF1,"Tailem Bend Solar Project 1, Units 1-54",SA1,solar,108.000,95.000
WARWSF1,Warwick Solar Farm 1,QLD1,solar,39.000,32.000
WARWSF2,Warwick Solar Farm 2,QLD1,solar,39.000,32.000
WRSF1,White Rock Wind and Solar Farm,NSW1,solar,22.000,20.000
GLRWNSF1,Glenrowan West Solar Farm,VIC1,solar,132.000,110.000
GOONSF1,Goonumbla Solar Farm,NSW1,solar,85.000,69.000
KIAMSF1,Kiamal Solar Farm,VIC1,solar,239.000,200.000
LIMOSF11,Limondale Solar Farm 1,NSW1,solar,275.000,220.000
LIMOSF21,Limondale Solar Farm 2,NSW1,solar,38.000,29.000
WELLSF1,Wellington Solar Farm,NSW1,solar,216.000,170.000
WEMENSF1,"Wemen Solar Farm, Units 1-39",VIC1,solar,97.500,88.000
WHITSF1,Whitsunday Solar Farm,QLD1,solar,57.500,56.000
BROKENH1,Broken Hill Solar Plant,NSW1,solar,53.760,53.000
CESF1,Capital East Solar Farm,NSW1,solar,0.205,1.000
CESF1,Capital East Solar Farm,NSW1,solar,,
CESF1,Capital East Solar Farm,NSW1,solar,,
GULLRSF1,Gullen Range Solar Farm,NSW1,solar,10.000,10.000
KARSF1,Karadoc Solar Farm,VIC1,solar,104.000,90.000
KSP1,Kidston Solar Project,QLD1,solar,50.000,47.700
MANSLR1,Manildra solar Farm,NSW1,solar,50.000,46.000
MANSLR1,Manildra solar Farm,NSW1,solar,,
NYNGAN1,Nyngan Solar Plant,NSW1,solar,102.141,102.000
PARSF1,Parkes Solar Farm,NSW1,solar,55.000,50.500
ROYALLA1,Royalla Solar Farm,NSW1,solar,20.000,20.000
SMCSF1,Sun Metals Solar Farm,QLD1,solar,118.000,101.000
SMCSF1,Sun Metals Solar Farm,QLD1,solar,6.000,6.000
SUNRSF1,Sunraysia Solar Farm,NSW1,solar,228.000,200.000
SRSF1,Susan River Solar Farm,QLD1,solar,85.260,75.000
VALDORA1,Valdora Solar Farm,QLD1,solar,15.000,15.000
BAKING1,Baking Board Solar Farm,QLD1,solar,17.000,14.000
BANN1,Bannerton Solar Park,VIC1,solar,100.000,88.000
BARCSF1,Barcaldine Solar Farm,QLD1,solar,20.000,20.000
BERYLSF1,"Beryl Solar Farm, Units 1-60",NSW1,solar,98.000,87.000
BOMENSF1,Bomen Solar Farm,NSW1,solar,121.000,100.000
BNGSF1,Bungala One Solar Farm,SA1,solar,135.000,110.000
BNGSF2,Bungala Two Solar Farm,SA1,solar,135.000,110.000
CHILDSF1,Childers Solar Farm,QLD1,solar,64.380,56.000
CLARESF1,Clare Solar Farm,QLD1,solar,110.262,100.000
CLERMSF1,Clermont Solar Farm,QLD1,solar,92.500,75.000
COHUNA,Cohuna Solar Farm,VIC1,solar,31.000,27.000
COLEASF1,Coleambally Solar Farm,NSW1,solar,180.000,150.000
DARLSF1,"Darlington Point Solar Farm, Units 1-108",NSW1,solar,324.000,275.000
DAYDSF1,Daydream Solar Farm,QLD1,solar,79.750,71.340
DAYDSF2,Daydream Solar Farm,QLD1,solar,88.000,78.720
EMERASF1,Emerald Solar Park,QLD1,solar,88.000,72.000
GANNSF1,Gannawarra Solar Farm,VIC1,solar,55.000,50.000
GRIFSF1,Griffith Solar Farm,NSW1,solar,27.200,27.000
HAMISF1,Hamilton Solar Farm,QLD1,solar,57.500,56.000
HAUGHT11,Haughton Solar Farm Stage 1,QLD1,solar,132.000,100.000
HAYMSF1,Hayman Solar Farm,QLD1,solar,57.750,50.000
HUGSF1,Hughenden Solar Farm,QLD1,solar,20.970,18.000
JEMALNG1,Jemalong Solar Project,NSW1,solar,55.000,50.000
LRSF1,Longreach Solar Farm,QLD1,solar,17.000,14.000
MARYRSF1,Maryrorough Solar Farm,QLD1,solar,33.000,27.000
MIDDLSF1,Middlemount Solar Farm,QLD1,solar,30.000,26.000
MOLNGSF1,Molong Solar Farm,NSW1,solar,36.000,30.000
MOREESF1,Moree Solar Farm,NSW1,solar,57.064,56.000
MWPS3PV1,"Morgan-Whyalla Pipeline Pumping Station No 3, PV Units 1-3",SA1,solar,7.000,6.000
MWPS4PV1,"Morgan-Whyalla Pipeline Pumping Station No 4, PV Units 1-2",SA1,solar,5.000,4.000
MLSP1,Mugga Lane Solar Park,NSW1,solar,12.000,12.000
NASF1,Narromine Solar Farm,NSW1,solar,10.000,9.000
NEVERSF1,Nevertire Solar Farm,NSW1,solar,132.000,105.000
NUMURSF1,Numurkah Solar Farm,VIC1,solar,74.000,100.000
NUMURSF2,Numurkah Solar Farm,VIC1,solar,38.000,100.000
OAKEY1SF,Oakey 1 Solar Farm,QLD1,solar,30.000,25.000
OAKEY2SF,Oakey 2 Solar Farm,QLD1,solar,65.000,55.000
RRSF1,"Ross River Solar Farm, Units 1-64",QLD1,solar,128.000,116.000
RUGBYR1,Rugby Run Solar Farm,QLD1,solar,83.000,65.000
SKSF1,South Keswick Solar Farm,NSW1,solar,15.000,13.000
YARANSF1,Yarranlea Solar Farm,QLD1,solar,121.000,103.000
YATSF1,Yatpool Solar Farm,VIC1,solar,94.000,81.000
